valid_json,schema_score,topology_score,domain_accuracy,numerical_accuracy,categorical_accuracy,math_accuracy,semantic_score,chart_id,chart_type,complexity
True,1.0,1.0,0.8571428571428571,0.9037450396825396,0.9333333333333333,,,132200,Scatter Plot,High
True,1.0,1.0,1.0,1.0,1.0,,0.92,152654,Bar Chart,Medium
True,1.0,0.0,1.0,0.7555423080913277,1.0,,0.34136363636363637,113138,Line Chart,High
True,1.0,1.0,0.8333333333333334,1.0,1.0,,0.3333333333333333,128251,Area Chart,Low
True,1.0,1.0,1.0,0.475,1.0,,0.3333333333333333,127034,Area Chart,Low
True,1.0,1.0,1.0,,,,0.0,111934,Line Chart,Low
True,1.0,0.0,0.8571428571428571,0.7111111111111111,1.0,,0.7930769230769231,140315,Line Chart,High
True,1.0,1.0,1.0,1.0,1.0,,0.9339999999999999,58512,Line Chart,Medium
True,1.0,1.0,0.5,0.28315184815184824,0.75,,0.16666666666666666,118520,Box Plot,Medium
True,1.0,1.0,0.5,0.8235523332139874,1.0,,,81797,Scatter Plot,High
True,1.0,0.0,0.75,0.9378877494327644,,,0.9157142857142857,148630,Bar Chart,Medium
True,1.0,1.0,0.5,,,,0.0175,120441,Area Chart,High
True,1.0,0.0,0.8333333333333334,0.875,1.0,,0.716923076923077,80685,Line Chart,High
True,1.0,1.0,1.0,1.0,1.0,,,79407,Scatter Plot,Low
True,1.0,1.0,1.0,1.0,1.0,,,109527,Scatter Plot,Low
True,1.0,1.0,,0.5881097880993474,,,,109787,Pie Chart,Low
True,0.8333333333333334,1.0,0.5,,,0.0,,155920,Line Chart,High
True,1.0,1.0,,0.9985132318350369,,,,91112,Pie Chart,Low
True,0.8,1.0,0.25,,,,0.0,133722,Histogram,Low
True,1.0,1.0,1.0,1.0,,,0.9538461538461539,158161,Bar Chart,High
True,1.0,1.0,1.0,0.7212322721881286,1.0,,0.5661538461538462,154677,Bar Chart,High
True,1.0,0.0,0.75,0.0,,,0.04428571428571428,150499,Bar Chart,Medium
True,1.0,1.0,0.5,0.5864756944444444,,,0.7668421052631579,150161,Line Chart,High
True,1.0,1.0,0.6666666666666666,0.4376648127549129,0.5,,0.5,101918,Box Plot,Low
True,1.0,1.0,0.5,0.9707881160588961,1.0,,,115546,Scatter Plot,High
True,1.0,0.0,0.8571428571428571,0.9771754385964913,1.0,,0.836875,97105,Bar Chart,High
True,1.0,1.0,0.8333333333333334,0.6733588435374149,1.0,,,60084,Scatter Plot,High
True,1.0,1.0,0.8888888888888888,0.4993107062624156,1.0,,0.4378947368421053,67468,Line Chart,High
True,1.0,0.0,0.8,0.9375,1.0,,0.8723076923076923,59876,Line Chart,High
True,1.0,0.0,0.8571428571428571,0.0,1.0,,0.46,136040,Bar Chart,Low
True,1.0,1.0,1.0,0.9981346153846153,1.0,,,127347,Scatter Plot,High
True,0.8333333333333334,1.0,1.0,,,,0.0,120443,Area Chart,High
True,1.0,1.0,,0.9935185185185185,1.0,,0.32999999999999996,54322,Area Chart,Medium
True,1.0,1.0,,0.9992922855620244,,,,66888,Pie Chart,Low
True,1.0,1.0,1.0,0.75,1.0,,,62958,Scatter Plot,Low
True,1.0,1.0,0.5,0.991468253968254,1.0,,0.51,76480,Box Plot,High
True,1.0,1.0,1.0,0.8526849235379109,,,,125107,Scatter Plot,High
True,0.8333333333333334,0.0,0.75,0.8,,,0.0,162220,Line Chart,High
True,1.0,1.0,0.8333333333333334,0.6666666666666666,1.0,,,132029,Scatter Plot,High
True,1.0,1.0,0.875,0.9563547085098809,1.0,,0.6185714285714285,67221,Line Chart,Medium
True,1.0,0.0,0.5,0.13931905279731494,,,0.0,145121,Histogram,Medium
True,1.0,0.0,0.5,0.7962781385281386,0.2,,0.909375,91266,Bar Chart,High
True,1.0,1.0,1.0,0.5,1.0,,0.35857142857142854,71018,Area Chart,Medium
True,0.8333333333333334,1.0,1.0,,,0.0,,163069,Line Chart,High
True,1.0,0.0,0.5,0.8932263543989551,,,0.4076923076923077,103277,Line Chart,Medium
True,1.0,1.0,0.5,0.44548572485046495,,,0.933,156418,Line Chart,Medium
True,1.0,1.0,0.8888888888888888,0.731169040689681,0.35714285714285715,,0.10230769230769231,72132,Area Chart,High
True,1.0,1.0,0.5,0.988550663927067,1.0,,0.8166666666666668,132436,Box Plot,Low
True,1.0,1.0,0.5,0.5666666666666667,1.0,,,104266,Scatter Plot,Medium
True,1.0,1.0,,0.9987030802084923,,,,55065,Pie Chart,Low
True,1.0,1.0,1.0,,,,0.03,123652,Area Chart,Medium
True,1.0,1.0,0.25,,,,0.028000000000000004,159105,Line Chart,Medium
True,1.0,1.0,1.0,0.8797215189873417,,,0.769375,146588,Line Chart,High
True,1.0,1.0,0.5,1.0,1.0,,,124854,Scatter Plot,Low
True,1.0,0.0,0.8571428571428571,0.5691386909641071,0.5,,,139025,Scatter Plot,High
True,1.0,1.0,1.0,0.7333333333333333,1.0,,0.7161538461538461,112937,Line Chart,High
True,1.0,0.0,0.25,0.5205325605184198,1.0,,0.53,157326,Bar Chart,High
True,1.0,1.0,1.0,1.0,1.0,,,93506,Scatter Plot,Low
True,1.0,0.0,0.8333333333333334,0.7474427552552553,1.0,,0.7176923076923077,72098,Line Chart,High
True,1.0,1.0,0.8571428571428571,,,,0.01625,122825,Area Chart,Low
True,1.0,0.0,0.8571428571428571,1.0,1.0,,0.9623076923076923,68229,Line Chart,High
True,1.0,1.0,0.5,0.5953312455502467,1.0,,0.346875,72533,Bar Chart,High
True,1.0,1.0,0.8571428571428571,0.9476211109293006,1.0,,0.831875,121841,Line Chart,High
True,1.0,0.0,1.0,,,,0.02692307692307692,162202,Bar Chart,High
True,1.0,1.0,,0.4870662350392897,1.0,,0.331,57457,Area Chart,Medium
True,1.0,1.0,,0.9989513473235173,,,,109449,Pie Chart,Low
True,1.0,1.0,0.8333333333333334,1.0,1.0,,0.9607692307692308,106268,Line Chart,High
True,1.0,1.0,0.8571428571428571,0.9872384486858171,1.0,,0.770625,93651,Line Chart,Low
True,1.0,0.0,0.8,0.60625,1.0,,0.33187500000000003,51840,Line Chart,High
True,1.0,1.0,0.5,0.6,1.0,,0.131,123681,Area Chart,Medium
True,1.0,1.0,1.0,1.0,1.0,,1.0,96329,Line Chart,Low
True,1.0,1.0,1.0,0.9853333333333333,1.0,,0.899375,75284,Bar Chart,High
True,1.0,1.0,0.8571428571428571,0.9818181818181818,1.0,,,105605,Scatter Plot,Low
True,1.0,0.0,1.0,0.08591127830258263,,,,124429,Scatter Plot,Medium
True,1.0,1.0,1.0,0.9742437626862317,1.0,,0.7984615384615386,150316,Bar Chart,High
True,1.0,1.0,0.8333333333333334,1.0,1.0,,,62548,Scatter Plot,Low
True,1.0,1.0,0.25,,,,,127026,Scatter Plot,High
True,1.0,1.0,,0.9985036152067943,,,,75772,Pie Chart,Low
True,1.0,1.0,0.75,0.7268650199600798,,,0.932,153952,Line Chart,Medium
True,1.0,1.0,0.8571428571428571,0.996,1.0,,0.95875,93574,Line Chart,High
True,1.0,1.0,0.8571428571428571,0.7043032212885154,1.0,,0.3315384615384615,59854,Area Chart,High
True,1.0,1.0,1.0,0.9418010933977321,1.0,,0.33199999999999996,70959,Area Chart,Medium
True,0.8333333333333334,0.0,0.75,0.0197958285391441,,0.0,0.0,149032,Line Chart,Medium
True,1.0,1.0,,1.0,,,,150353,Pie Chart,Low
True,1.0,1.0,0.5,,,,0.015,49846,Bar Chart,High
True,1.0,1.0,0.5,0.9707881160588961,1.0,,,118798,Scatter Plot,High
True,1.0,1.0,1.0,0.5649426548757418,1.0,,0.153,130414,Area Chart,Medium
True,1.0,1.0,1.0,1.0,1.0,,,133544,Scatter Plot,Low
