valid_json,schema_score,topology_score,domain_accuracy,numerical_accuracy,categorical_accuracy,math_accuracy,semantic_score,chart_id,chart_type,complexity
True,0.8333333333333334,0.0,0.5,0.0,0.0,,0.015625,91266,Bar Chart,Unknown
True,1.0,1.0,0.875,0.4983333333333334,1.0,,0.31428571428571433,71018,Area Chart,Unknown
True,0.8333333333333334,1.0,0.25,,,0.0,,163069,Line Chart,Unknown
True,1.0,0.0,0.5,0.8863285815932875,,,0.6284615384615384,103277,Line Chart,Unknown
True,1.0,1.0,0.5,0.4031327659268836,,,0.932,156418,Line Chart,Unknown
True,1.0,1.0,0.8888888888888888,0.167958358406573,0.35714285714285715,,0.01076923076923077,72132,Area Chart,Unknown
True,1.0,1.0,1.0,,,,0.10333333333333333,132436,Box Plot,Unknown
True,1.0,1.0,0.8571428571428571,0.1614078742608154,1.0,,,104266,Scatter Plot,Unknown
True,1.0,1.0,,0.0,,,,55065,Pie Chart,Unknown
True,1.0,1.0,0.6,0.4527879527879528,1.0,,0.027000000000000003,123652,Area Chart,Unknown
True,1.0,0.0,0.5,1.0,,,0.626,159105,Line Chart,Unknown
True,1.0,1.0,0.75,0.9998529411764706,,,0.9525,146588,Line Chart,Unknown
True,1.0,1.0,0.8333333333333334,1.0,1.0,,,124854,Scatter Plot,Unknown
True,1.0,0.0,,0.5238978673250964,0.5,,,139025,Scatter Plot,Unknown
True,1.0,0.0,1.0,0.6626461988304093,1.0,,0.6361538461538461,112937,Line Chart,Unknown
True,1.0,0.0,,0.1925091145754645,1.0,,0.136875,157326,Bar Chart,Unknown
True,1.0,1.0,1.0,,,,,93506,Scatter Plot,Unknown
True,1.0,0.0,0.6666666666666666,0.7483108108108109,1.0,,0.7084615384615385,72098,Line Chart,Unknown
True,1.0,0.0,,0.0,1.0,,0.013125,122825,Area Chart,Unknown
True,1.0,0.0,0.8571428571428571,0.75,1.0,,0.7092307692307693,68229,Line Chart,Unknown
True,1.0,0.0,,0.5485084465343085,1.0,,0.0175,72533,Bar Chart,Unknown
True,1.0,0.0,0.8571428571428571,0.7360195506079132,1.0,,0.26125,121841,Line Chart,Unknown
True,1.0,0.0,0.25,,,,0.016153846153846154,162202,Bar Chart,Unknown
True,1.0,1.0,,0.31769672550613803,1.0,,0.317,57457,Area Chart,Unknown
True,1.0,1.0,,0.0,,,,109449,Pie Chart,Unknown
True,1.0,1.0,0.8333333333333334,0.8979166666666667,1.0,,0.8707692307692307,106268,Line Chart,Unknown
True,1.0,1.0,0.7142857142857143,0.9491942706416391,1.0,,0.57875,93651,Line Chart,Unknown
